id,title,thumbnail,url
-79SmkxJfeY,#03 React + JavaScript: Como Declarar e Usar Vetores no Estado (Do Zero à Prática),https://i.ytimg.com/vi/-79SmkxJfeY/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCIUFgLwdHh6WbBmZYQewqruEdx3A,https://www.youtube.com/watch?v=-79SmkxJfeY
wuNZwh2NG2A,#02 React + JavaScript: Vetores do Zero — Conceito e Uso no Estado (Passo a Passo),https://i.ytimg.com/vi/wuNZwh2NG2A/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLC1OEMv79rjGauMyD6jLHzh__hMWw,https://www.youtube.com/watch?v=wuNZwh2NG2A
bQG8knq4Z-M,EJS + Node.js na Prática: Do Básico ao Mini Projeto Responsivo (Aula Completa),https://i.ytimg.com/vi/bQG8knq4Z-M/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBwI9cqEY76zbT5lEg21TX-zmr5sw,https://www.youtube.com/watch?v=bQG8knq4Z-M
6VaWPGi6wGM,#01 React + JavaScript: PUSH e POP na Prática (Manipulando Lista no Estado),https://i.ytimg.com/vi/6VaWPGi6wGM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLD3OBAaGJ09_3O5zL0O5Ht7t5IKSA,https://www.youtube.com/watch?v=6VaWPGi6wGM
3Iy24fcNo3M,#06 Callback com TypeScript na Prática – Com Async Await,https://i.ytimg.com/vi/3Iy24fcNo3M/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBjXeX0C4pYvT9TPrGIueRJdMDArQ,https://www.youtube.com/watch?v=3Iy24fcNo3M
-3aMvBIqNyI,#05 Callback com TypeScript na Prática – Com API ViaCep,https://i.ytimg.com/vi/-3aMvBIqNyI/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAyD80XEP2vPyjoWvPakqsqbnjkTQ,https://www.youtube.com/watch?v=-3aMvBIqNyI
6cQ1hC8zUyk,#04 Callback com TypeScript na Prática – Tipando Callbacks com TYPE no TypeScript,https://i.ytimg.com/vi/6cQ1hC8zUyk/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDAY8yohrO5gwGV_iXtSwU0H_vS9Q,https://www.youtube.com/watch?v=6cQ1hC8zUyk
a5zGmmL40cY,#03 Callback com TypeScript na Prática – Buscar Usuário,https://i.ytimg.com/vi/a5zGmmL40cY/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCOuOzLZ_MX0talagUXjl6f7FdBpw,https://www.youtube.com/watch?v=a5zGmmL40cY
9LeIo8Pzv_0,#02 Como Funciona setTimeout no JavaScript (Callback e Execução Assíncrona na Prática),https://i.ytimg.com/vi/9LeIo8Pzv_0/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAsUGhdKgBp_o25KPr83R2PImPw8A,https://www.youtube.com/watch?v=9LeIo8Pzv_0
UK6pbnWnsmg,#01 Callback com TypeScript na Prática – Explicação Simples e Direta,https://i.ytimg.com/vi/UK6pbnWnsmg/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDj9mKo8GzFqGPnz4BRrYzCLr8R3Q,https://www.youtube.com/watch?v=UK6pbnWnsmg
